,Name,ideology,Amt
332, Patrick Leahy (D) ,committees,0
333, James E Risch (R) ,committees,0
334, Tom Udall (D) ,committees,125
335, Richard Blumenthal (D) ,committees,0
336, Charles E Schumer (D) ,committees,0
337, Richard Burr (R) ,committees,0
338, Jeff Merkley (D) ,committees,1075
339, Kamala D Harris (D) ,committees,0
340, Richard C Shelby (R) ,committees,0
341, Chris Van Hollen (D) ,committees,0
342, Ted Cruz (R) ,committees,126177
343, Tina Smith (D) ,committees,158693
344, Jeff Flake (R) ,committees,57400
345, Kirsten Gillibrand (D) ,committees,4500
346, John Cornyn (R) ,committees,5000
347, Mitch McConnell (R) ,committees,0
348, Thom Tillis (R) ,committees,2000
349, Pat Toomey (R) ,committees,0
350, Bill Cassidy (R) ,committees,-1000
351, Mark Warner (D) ,committees,6000
352, Tim Scott (R) ,committees,1840
353, Rob Portman (R) ,committees,1500
354, John Thune (R) ,committees,0
355, Cory Gardner (R) ,committees,0
356, David Perdue (R) ,committees,3000
357, Susan Collins (R) ,committees,2000
358, Lisa Murkowski (R) ,committees,0
359, John Kennedy (R) ,committees,16982
360, Pat Roberts (R) ,committees,-2654
361, Shelley Moore Capito (R) ,committees,0
362, Johnny Isakson (R) ,committees,0
363, Ron Wyden (D) ,committees,0
364, Sherrod Brown (D) ,committees,35070
365, Dianne Feinstein (D) ,committees,4250
366, Christopher S Murphy (D) ,committees,58875
367, Robert Menendez (D) ,committees,24250
368, Angus King (I) ,committees,24674
369, Mazie K Hirono (D) ,committees,8000
370, Sheldon Whitehouse (D) ,committees,18920
371, Mike Crapo (R) ,committees,1000
372, Cindy Hyde-Smith (R) ,committees,7000
373, Claire McCaskill (D) ,committees,28299
374, Doug Jones (D) ,committees,648948
375, Joe Donnelly (D) ,committees,177274
376, Tammy Baldwin (D) ,committees,29680
377, Tim Kaine (D) ,committees,16320
378, Martin Heinrich (D) ,committees,27825
379, Tom Carper (D) ,committees,5500
380, Ben Cardin (D) ,committees,8000
381, Bob Casey (D) ,committees,281761
382, Roger Wicker (R) ,committees,64095
383, Deb Fischer (R) ,committees,36361
384, Amy Klobuchar (D) ,committees,14000
385, Jon Tester (D) ,committees,97327
386, Dean Heller (R) ,committees,56376
387, Debbie Stabenow (D) ,committees,83159
388, Joe Manchin (D) ,committees,335637
389, John A Barrasso (R) ,committees,8131
390, Heidi Heitkamp (D) ,committees,870786
391, Bill Nelson (D) ,committees,18930
392, Orrin G Hatch (R) ,Legal,44880
393, Todd Young (R) ,Legal,9250
394, Elizabeth Warren (D) ,Legal,9000
395, Bob Corker (R) ,Legal,22000
396, Gary Peters (D) ,Legal,22000
397, Ron Johnson (R) ,Legal,9000
398, Lindsey Graham (R) ,Legal,23500
399, James M Inhofe (R) ,Legal,10000
400, Patty Murray (D) ,Legal,12600
401, Marco Rubio (R) ,Legal,12500
402, Ben Sasse (R) ,Legal,7250
403, Tom Cotton (R) ,Legal,13000
404, Ed Markey (D) ,Legal,27590
405, Mike Rounds (R) ,Legal,4500
406, Brian Schatz (D) ,Legal,10000
407, Steven Daines (R) ,Legal,3500
408, Tammy Duckworth (D) ,Legal,7750
409, Dan Sullivan (R) ,Legal,12152
410, Catherine Cortez Masto (D) ,Legal,8541
411, Jeanne Shaheen (D) ,Legal,7000
412, Joni Ernst (R) ,Legal,14000
413, Jerry Moran (R) ,Legal,6500
414, James Lankford (R) ,Legal,8250
415, Lamar Alexander (R) ,Legal,12000
416, Dick Durbin (D) ,Legal,11000
417, John Hoeven (R) ,Legal,1000
418, Cory Booker (D) ,Legal,5000
419, Chris Coons (D) ,Legal,19500
420, John Boozman (R) ,Legal,3500
421, Jack Reed (D) ,Legal,3000
422, Chuck Grassley (R) ,Legal,7500
423, Rand Paul (R) ,Legal,1000
424, Mike Lee (R) ,Legal,3500
425, Maggie Hassan (D) ,Legal,1250
426, Bernie Sanders (I) ,Legal,0
427, Michael F Bennet (D) ,Legal,8500
428, Maria Cantwell (D) ,Legal,-250
429, Mike Enzi (R) ,Legal,1000
430, Patrick Leahy (D) ,Legal,9500
431, James E Risch (R) ,Legal,2000
432, Tom Udall (D) ,Legal,1000
433, Richard Blumenthal (D) ,Legal,8250
434, Charles E Schumer (D) ,Legal,0
435, Richard Burr (R) ,Legal,0
436, Jeff Merkley (D) ,Legal,2500
437, Kamala D Harris (D) ,Legal,12500
438, Richard C Shelby (R) ,Legal,5000
439, Chris Van Hollen (D) ,Legal,1500
440, Ted Cruz (R) ,Legal,16500
441, Tina Smith (D) ,Legal,44500
442, Jeff Flake (R) ,Legal,50075
443, Kirsten Gillibrand (D) ,Legal,34808
444, John Cornyn (R) ,Legal,21950
445, Mitch McConnell (R) ,Legal,15500
446, Thom Tillis (R) ,Legal,18250
447, Pat Toomey (R) ,Legal,33465
448, Bill Cassidy (R) ,Legal,33000
449, Mark Warner (D) ,Legal,17500
450, Tim Scott (R) ,Legal,15250
451, Rob Portman (R) ,Legal,15250
452, John Thune (R) ,Legal,14000
453, Cory Gardner (R) ,Legal,10500
454, David Perdue (R) ,Legal,11000
455, Susan Collins (R) ,Legal,13000
456, Lisa Murkowski (R) ,Legal,29500
457, John Kennedy (R) ,Legal,37594
458, Pat Roberts (R) ,Legal,7000
459, Shelley Moore Capito (R) ,Legal,16500
460, Johnny Isakson (R) ,Legal,9500
461, Ron Wyden (D) ,Legal,8500
462, Sherrod Brown (D) ,Legal,79200
463, Dianne Feinstein (D) ,Legal,69250
464, Christopher S Murphy (D) ,Legal,42750
465, Robert Menendez (D) ,Legal,75500
466, Angus King (I) ,Legal,31231
467, Mazie K Hirono (D) ,Legal,35800
468, Sheldon Whitehouse (D) ,Legal,60165
469, Mike Crapo (R) ,Legal,19150
470, Cindy Hyde-Smith (R) ,Legal,19558
471, Claire McCaskill (D) ,Legal,84150
472, Doug Jones (D) ,Legal,46500
473, Joe Donnelly (D) ,Legal,103706
474, Tammy Baldwin (D) ,Legal,41900
475, Tim Kaine (D) ,Legal,117950
476, Martin Heinrich (D) ,Legal,84500
477, Tom Carper (D) ,Legal,46950
478, Ben Cardin (D) ,Legal,48468
479, Bob Casey (D) ,Legal,129660
480, Roger Wicker (R) ,Legal,85500
481, Deb Fischer (R) ,Legal,63623
482, Amy Klobuchar (D) ,Legal,88023
483, Jon Tester (D) ,Legal,87862
484, Dean Heller (R) ,Legal,78950
485, Debbie Stabenow (D) ,Legal,81950
486, Joe Manchin (D) ,Legal,84000
487, John A Barrasso (R) ,Legal,84000
488, Heidi Heitkamp (D) ,Legal,87919
489, Bill Nelson (D) ,Legal,113884
490, Orrin G Hatch (R) ,Unions,7500
491, Todd Young (R) ,Unions,0
492, Elizabeth Warren (D) ,Unions,121275
493, Bob Corker (R) ,Unions,3500
494, Gary Peters (D) ,Unions,14000
495, Ron Johnson (R) ,Unions,21000
496, Lindsey Graham (R) ,Unions,6200
497, James M Inhofe (R) ,Unions,9500
498, Patty Murray (D) ,Unions,21510
499, Marco Rubio (R) ,Unions,14500
500, Ben Sasse (R) ,Unions,2000
501, Tom Cotton (R) ,Unions,0
502, Ed Markey (D) ,Unions,50500
503, Mike Rounds (R) ,Unions,6000
504, Brian Schatz (D) ,Unions,31000
505, Steven Daines (R) ,Unions,5500
506, Tammy Duckworth (D) ,Unions,27750
507, Dan Sullivan (R) ,Unions,11000
508, Catherine Cortez Masto (D) ,Unions,4750
509, Jeanne Shaheen (D) ,Unions,19250
510, Joni Ernst (R) ,Unions,2000
511, Jerry Moran (R) ,Unions,9000
512, James Lankford (R) ,Unions,21000
513, Lamar Alexander (R) ,Unions,2500
514, Dick Durbin (D) ,Unions,15500
515, John Hoeven (R) ,Unions,3500
516, Cory Booker (D) ,Unions,10500
517, Chris Coons (D) ,Unions,2500
518, John Boozman (R) ,Unions,3500
519, Jack Reed (D) ,Unions,16750
520, Chuck Grassley (R) ,Unions,1000
521, Rand Paul (R) ,Unions,0
522, Mike Lee (R) ,Unions,2000
523, Maggie Hassan (D) ,Unions,8000
524, Bernie Sanders (I) ,Unions,21100
525, Michael F Bennet (D) ,Unions,1000
526, Maria Cantwell (D) ,Unions,22000
527, Mike Enzi (R) ,Unions,0
528, Patrick Leahy (D) ,Unions,4500
529, James E Risch (R) ,Unions,0
530, Tom Udall (D) ,Unions,3000
531, Richard Blumenthal (D) ,Unions,7000
532, Charles E Schumer (D) ,Unions,1000
533, Richard Burr (R) ,Unions,0
534, Jeff Merkley (D) ,Unions,6500
535, Kamala D Harris (D) ,Unions,3000
536, Richard C Shelby (R) ,Unions,0
537, Chris Van Hollen (D) ,Unions,0
538, Ted Cruz (R) ,Unions,6500
539, Tina Smith (D) ,Unions,108000
540, Jeff Flake (R) ,Unions,1000
541, Kirsten Gillibrand (D) ,Unions,57000
542, John Cornyn (R) ,Unions,1000
543, Mitch McConnell (R) ,Unions,8700
544, Thom Tillis (R) ,Unions,1000
545, Pat Toomey (R) ,Unions,5500
546, Bill Cassidy (R) ,Unions,1000
547, Mark Warner (D) ,Unions,6500
548, Tim Scott (R) ,Unions,5500
549, Rob Portman (R) ,Unions,6500
550, John Thune (R) ,Unions,12000
551, Cory Gardner (R) ,Unions,1000
552, David Perdue (R) ,Unions,4500
553, Susan Collins (R) ,Unions,11500
554, Lisa Murkowski (R) ,Unions,18000
555, John Kennedy (R) ,Unions,7000
556, Pat Roberts (R) ,Unions,1000
557, Shelley Moore Capito (R) ,Unions,14500
558, Johnny Isakson (R) ,Unions,6000
559, Ron Wyden (D) ,Unions,1500
560, Sherrod Brown (D) ,Unions,188649
