Cand_ID,ideology,Amt
N00002097,F2100,33500
N00002097,F2110,3500
N00002097,F2200,4000
N00002097,F2300,5000
N00002097,F2400,3000
N00002097,F2500,5000
N00002097,F2600,-2000
N00002097,F3000,10000
N00002097,F3100,27000
N00002097,F3200,3500
N00002097,F3300,28500
N00002097,F3400,7500
N00002097,F4100,5000
N00002097,F4300,2000
N00002097,F4600,12000
N00002097,F4700,2000
N00002097,F5000,2500
N00002097,F5100,15500
N00002097,F5200,2000
N00002097,F5300,3500
N00002097,G0000,4000
N00002097,G1000,2500
N00002097,G2100,1000
N00002097,G2200,1000
N00002097,G2500,2000
N00002097,G2900,1000
N00002097,G4000,1000
N00002097,G4100,2500
N00002097,G4300,1000
N00002097,G4900,2000
N00002097,H1100,5000
N00002097,H1130,3000
N00002097,H1710,2000
N00002097,H2100,5000
N00002097,H3100,2000
N00002097,H3200,5000
N00002097,H3700,2000
N00002097,H4300,18000
N00002097,H4500,2000
N00002097,H5300,1000
N00002097,J2300,1000
N00002097,J5100,10000
N00002097,J9000,2000
N00002097,K1000,12500
N00002097,K1100,1000
N00002097,K1200,1000
N00002097,K2000,3000
N00002097,L1100,1000
N00002097,L1200,1500
N00002097,LB100,7000
N00002097,LE100,3500
N00002097,LM150,2500
N00002097,LT400,1500
N00002097,M1000,4500
N00002097,M2200,2000
N00002097,M2300,3000
N00002097,M3000,1000
N00002097,M3100,2000
N00002097,T1200,2000
N00002097,T1700,4500
N00002097,T2200,2000
N00002097,T3100,6000
N00002097,T5100,7000
N00002097,T6250,1000
N00002097,T7100,3000
N00002097,T9100,7500
N00002097,X4000,1000
N00002097,Z1200,2000
N00002097,Z9600,4000
N00002221,C4500,-5000
N00002221,C5130,1000
N00002221,C6200,1000
N00002221,D2000,1000
N00002221,D6000,3000
N00002221,E1160,-2500
N00002221,E1600,1000
N00002221,E1620,1000
N00002221,F1100,2000
N00002221,F2200,2000
N00002221,F2300,4000
N00002221,F2500,1500
N00002221,F3200,1000
N00002221,F3300,2500
N00002221,G2400,5000
N00002221,G2900,2000
N00002221,H1130,2500
N00002221,H3200,1000
N00002221,H3900,5000
N00002221,H4100,8000
N00002221,H4300,2500
N00002221,H4500,1000
N00002221,H4600,2000
N00002221,H5000,1000
N00002221,H5300,1000
N00002221,J6100,861
N00002221,J6200,0
N00002221,M1000,2500
N00002221,M1300,2000
N00002221,M3100,-2000
N00002221,T5100,2500
N00002221,T7100,-500
N00002221,X4110,2500
N00002221,Z5100,0
N00002593,A1600,2500
N00002593,A2300,3500
N00002593,A4000,3500
N00002593,A5200,5500
N00002593,B1000,4500
N00002593,B3000,2000
N00002593,C2000,8000
N00002593,C2400,3000
N00002593,C4100,3000
N00002593,C4500,2500
N00002593,C5000,1000
N00002593,C5120,4000
N00002593,C6300,1000
N00002593,C6400,2500
N00002593,D2000,3000
N00002593,D3000,1000
N00002593,D6000,1000
N00002593,D9000,5000
N00002593,E1120,-5000
N00002593,E1600,2500
N00002593,E1610,1000
N00002593,E1620,1000
N00002593,F0000,-2500
N00002593,F1000,3500
N00002593,F1100,2000
N00002593,F2100,6000
N00002593,F3000,3000
N00002593,F3100,1000
