,Name,Party,ideology,Amt
354, Mike Crapo (R) ,R,committees,1000
355, David Perdue (R) ,R,committees,3000
356, Orrin G Hatch (R) ,R,committees,92000
357, John Thune (R) ,R,committees,0
358, James Lankford (R) ,R,committees,0
359, Jerry Moran (R) ,R,committees,0
360, Joni Ernst (R) ,R,committees,0
361, Dan Sullivan (R) ,R,committees,3000
362, Steven Daines (R) ,R,committees,0
363, Mike Rounds (R) ,R,committees,1000
364, Lamar Alexander (R) ,R,committees,2000
365, Tom Cotton (R) ,R,committees,1000
366, Marco Rubio (R) ,R,committees,0
367, James M Inhofe (R) ,R,committees,4000
368, Lindsey Graham (R) ,R,committees,200
369, Ron Johnson (R) ,R,committees,2610
370, Bob Corker (R) ,R,committees,35000
371, Todd Young (R) ,R,committees,0
372, Ben Sasse (R) ,R,committees,4000
373, Cory Gardner (R) ,R,committees,0
374, John Hoeven (R) ,R,committees,0
375, Chuck Grassley (R) ,R,committees,3225
376, Rob Portman (R) ,R,committees,1500
377, Tim Scott (R) ,R,committees,1840
378, Bill Cassidy (R) ,R,committees,-1000
379, Pat Toomey (R) ,R,committees,0
380, Thom Tillis (R) ,R,committees,2000
381, Mitch McConnell (R) ,R,committees,0
382, John Boozman (R) ,R,committees,0
383, John Cornyn (R) ,R,committees,5000
384, Richard C Shelby (R) ,R,committees,0
385, Richard Burr (R) ,R,committees,0
386, James E Risch (R) ,R,committees,0
387, Mike Enzi (R) ,R,committees,0
388, Mike Lee (R) ,R,committees,477
389, Rand Paul (R) ,R,committees,64237
390, Jeff Flake (R) ,R,committees,57400
391, Ted Cruz (R) ,R,committees,126177
392, Bill Nelson (D) ,D,Legal,113884
393, Chris Coons (D) ,D,Legal,19500
394, Claire McCaskill (D) ,D,Legal,84150
395, Jack Reed (D) ,D,Legal,3000
396, Sheldon Whitehouse (D) ,D,Legal,60165
397, Maggie Hassan (D) ,D,Legal,1250
398, Michael F Bennet (D) ,D,Legal,8500
399, Maria Cantwell (D) ,D,Legal,-250
400, Mazie K Hirono (D) ,D,Legal,35800
401, Patrick Leahy (D) ,D,Legal,9500
402, Tom Udall (D) ,D,Legal,1000
403, Richard Blumenthal (D) ,D,Legal,8250
404, Charles E Schumer (D) ,D,Legal,0
405, Robert Menendez (D) ,D,Legal,75500
406, Jeff Merkley (D) ,D,Legal,2500
407, Kamala D Harris (D) ,D,Legal,12500
408, Christopher S Murphy (D) ,D,Legal,42750
409, Chris Van Hollen (D) ,D,Legal,1500
410, Heidi Heitkamp (D) ,D,Legal,87919
411, Tina Smith (D) ,D,Legal,44500
412, Dianne Feinstein (D) ,D,Legal,69250
413, Kirsten Gillibrand (D) ,D,Legal,34808
414, Sherrod Brown (D) ,D,Legal,79200
415, Doug Jones (D) ,D,Legal,46500
416, Cory Booker (D) ,D,Legal,5000
417, Joe Donnelly (D) ,D,Legal,103706
418, Elizabeth Warren (D) ,D,Legal,9000
419, Joe Manchin (D) ,D,Legal,84000
420, Gary Peters (D) ,D,Legal,22000
421, Debbie Stabenow (D) ,D,Legal,81950
422, Jon Tester (D) ,D,Legal,87862
423, Patty Murray (D) ,D,Legal,12600
424, Amy Klobuchar (D) ,D,Legal,88023
425, Mark Warner (D) ,D,Legal,17500
426, Ed Markey (D) ,D,Legal,27590
427, Dick Durbin (D) ,D,Legal,11000
428, Bob Casey (D) ,D,Legal,129660
429, Ron Wyden (D) ,D,Legal,8500
430, Ben Cardin (D) ,D,Legal,48468
431, Tammy Duckworth (D) ,D,Legal,7750
432, Tom Carper (D) ,D,Legal,46950
433, Catherine Cortez Masto (D) ,D,Legal,8541
434, Jeanne Shaheen (D) ,D,Legal,7000
435, Martin Heinrich (D) ,D,Legal,84500
436, Tim Kaine (D) ,D,Legal,117950
437, Tammy Baldwin (D) ,D,Legal,41900
438, Brian Schatz (D) ,D,Legal,10000
439, Bernie Sanders (I) ,I,Legal,0
440, Angus King (I) ,I,Legal,31231
441, Pat Roberts (R) ,R,Legal,7000
442, Johnny Isakson (R) ,R,Legal,9500
443, Shelley Moore Capito (R) ,R,Legal,16500
444, John Kennedy (R) ,R,Legal,37594
445, Lisa Murkowski (R) ,R,Legal,29500
446, Cindy Hyde-Smith (R) ,R,Legal,19558
447, Susan Collins (R) ,R,Legal,13000
448, Roger Wicker (R) ,R,Legal,85500
449, Deb Fischer (R) ,R,Legal,63623
450, Dean Heller (R) ,R,Legal,78950
451, John A Barrasso (R) ,R,Legal,84000
452, Mike Crapo (R) ,R,Legal,19150
453, David Perdue (R) ,R,Legal,11000
454, Orrin G Hatch (R) ,R,Legal,44880
455, John Thune (R) ,R,Legal,14000
456, James Lankford (R) ,R,Legal,8250
457, Jerry Moran (R) ,R,Legal,6500
458, Joni Ernst (R) ,R,Legal,14000
459, Dan Sullivan (R) ,R,Legal,12152
460, Steven Daines (R) ,R,Legal,3500
461, Mike Rounds (R) ,R,Legal,4500
462, Lamar Alexander (R) ,R,Legal,12000
463, Tom Cotton (R) ,R,Legal,13000
464, Marco Rubio (R) ,R,Legal,12500
465, James M Inhofe (R) ,R,Legal,10000
466, Lindsey Graham (R) ,R,Legal,23500
467, Ron Johnson (R) ,R,Legal,9000
468, Bob Corker (R) ,R,Legal,22000
469, Todd Young (R) ,R,Legal,9250
470, Ben Sasse (R) ,R,Legal,7250
471, Cory Gardner (R) ,R,Legal,10500
472, John Hoeven (R) ,R,Legal,1000
473, Chuck Grassley (R) ,R,Legal,7500
474, Rob Portman (R) ,R,Legal,15250
475, Tim Scott (R) ,R,Legal,15250
476, Bill Cassidy (R) ,R,Legal,33000
477, Pat Toomey (R) ,R,Legal,33465
478, Thom Tillis (R) ,R,Legal,18250
479, Mitch McConnell (R) ,R,Legal,15500
480, John Boozman (R) ,R,Legal,3500
481, John Cornyn (R) ,R,Legal,21950
482, Richard C Shelby (R) ,R,Legal,5000
483, Richard Burr (R) ,R,Legal,0
484, James E Risch (R) ,R,Legal,2000
485, Mike Enzi (R) ,R,Legal,1000
486, Mike Lee (R) ,R,Legal,3500
487, Rand Paul (R) ,R,Legal,1000
488, Jeff Flake (R) ,R,Legal,50075
489, Ted Cruz (R) ,R,Legal,16500
490, Bill Nelson (D) ,D,Unions,1202966
491, Chris Coons (D) ,D,Unions,2500
492, Claire McCaskill (D) ,D,Unions,177500
493, Jack Reed (D) ,D,Unions,16750
494, Sheldon Whitehouse (D) ,D,Unions,69150
495, Maggie Hassan (D) ,D,Unions,8000
496, Michael F Bennet (D) ,D,Unions,1000
497, Maria Cantwell (D) ,D,Unions,22000
498, Mazie K Hirono (D) ,D,Unions,121639
499, Patrick Leahy (D) ,D,Unions,4500
500, Tom Udall (D) ,D,Unions,3000
501, Richard Blumenthal (D) ,D,Unions,7000
502, Charles E Schumer (D) ,D,Unions,1000
503, Robert Menendez (D) ,D,Unions,80400
504, Jeff Merkley (D) ,D,Unions,6500
505, Kamala D Harris (D) ,D,Unions,3000
506, Christopher S Murphy (D) ,D,Unions,87000
507, Chris Van Hollen (D) ,D,Unions,0
508, Heidi Heitkamp (D) ,D,Unions,139500
509, Tina Smith (D) ,D,Unions,108000
510, Dianne Feinstein (D) ,D,Unions,43000
511, Kirsten Gillibrand (D) ,D,Unions,57000
512, Sherrod Brown (D) ,D,Unions,188649
513, Doug Jones (D) ,D,Unions,148918
514, Cory Booker (D) ,D,Unions,10500
